City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
278,hozat,39.1083,39.2213,10.6,51,2,1.41,TR,2024-04-02,311869
279,guiuan,11.0333,125.7247,27.3,78,38,4.69,PH,2024-04-02,1712206
280,arawa,-6.2132,155.5367,29.04,79,57,2.88,PG,2024-04-02,2100633
281,remire-montjoly,4.9167,-52.2667,28.02,83,75,1.54,GF,2024-04-02,3380892
282,al ghayzah,16.2079,52.176,25.48,72,59,2.31,YE,2024-04-02,79700
283,la mira,18.035,-102.3266,27.57,65,96,5.23,MX,2024-04-02,4026082
284,kununurra,-15.7667,128.7333,26.99,78,100,4.63,AU,2024-04-02,2068110
285,linxi,39.7,118.4333,11.69,27,100,5.36,CN,2024-04-02,1803334
286,san antonio de pale,-1.4014,5.6325,28.76,75,80,2.31,GQ,2024-04-02,2306774
287,alofi,-19.0595,-169.9187,29.94,74,75,7.2,NU,2024-04-02,4036284
288,kavieng,-2.5744,150.7967,28.91,76,100,4.81,PG,2024-04-02,2094342
289,gateway,26.5776,-81.7504,26.39,73,0,5.66,US,2024-04-02,4156601
290,charata,-27.2144,-61.188,27.05,64,82,2.57,AR,2024-04-02,3861678
291,ugoofaaru,5.6667,73.0,28.62,70,86,1.11,MV,2024-04-02,1337619
292,yemetsk,63.4721,41.7941,-6.71,77,99,4.08,RU,2024-04-02,467539
293,kedainiai,55.2883,23.9747,6.6,75,100,7.55,LT,2024-04-02,598272
294,porto-vecchio,41.591,9.2795,10.81,76,0,6.17,FR,2024-04-02,2985947
295,formosa do rio preto,-11.0483,-45.1931,24.72,78,91,0.38,BR,2024-04-02,3463124
296,altos del rosario,8.7944,-74.1658,32.13,52,69,1.5,CO,2024-04-02,3792378
297,anchorage,61.2181,-149.9003,-2.18,59,100,3.09,US,2024-04-02,5879400
298,lobito,-12.3481,13.5456,26.58,84,94,2.53,AO,2024-04-02,3347939
299,tutong,4.8,114.65,25.57,92,11,1.95,BN,2024-04-02,1820071
300,meadow lake,34.8014,-106.5436,14.63,29,31,4.71,US,2024-04-02,5478673
301,leava,-14.3,-178.1667,28.98,82,100,9.58,WF,2024-04-02,4034778
302,ketchikan,55.3422,-131.6461,5.2,87,100,7.72,US,2024-04-02,5554428
303,punta del este,-34.9667,-54.95,17.43,71,0,3.09,UY,2024-04-02,3440939
304,dinghaicun,26.2847,119.7936,22.51,96,51,4.31,CN,2024-04-02,1812805
305,dinkelscherben,48.3483,10.5889,4.72,89,60,3.06,DE,2024-04-02,2936885
306,isangel,-19.55,169.2667,29.06,74,75,3.6,VU,2024-04-02,2136825
307,flying fish cove,-10.4217,105.6791,26.82,89,75,5.14,CX,2024-04-02,2078127
308,tevriz,57.509,72.4042,0.49,92,98,4.21,RU,2024-04-02,1489661
309,belomorsk,64.5232,34.7668,-5.78,78,99,5.05,RU,2024-04-02,577922
310,lima duarte,-21.8425,-43.7931,20.14,91,95,0.93,BR,2024-04-02,3458591
311,onsong,42.9572,129.9933,4.92,55,49,1.54,KP,2024-04-02,2042267
312,hithadhoo,-0.6,73.0833,28.33,74,78,1.03,MV,2024-04-02,1282256
